model,sku,content,score,creation_time,user_level,reply_count,useful_count,category,sentiment,key_point,key_point_en
iPhone 17系列,xhs_comment,预算6000，想买512的16Pro能买到不[笑哭R],3,2026-05-20,广东,1,0,purchase_decision,neutral,预算与机型购买力咨询,Budget phone model purchase inquiry
iPhone 17系列,xhs_comment,17标准版有128G么？,3,2026-01-22,湖北,11,9,purchase_decision,neutral,询问标准版存储配置,Asking standard version storage config
iPhone 17系列,xhs_comment,13换15pro还是16pro,3,2025-09-22,广东,10,2,purchase_decision,neutral,13换15pro还是16pro,iPhone 13 to 15 Pro or 16 Pro
iPhone 17系列,xhs_comment,14pm换17体验感咋样，想换新机，但是感觉pm太大了不好用[呃R],3,2026-01-17,北京,8,0,purchase_decision,neutral,14pm换17体验感如何且尺寸太大,14 Pro Max to 17 too large
iPhone 17系列,xhs_comment,这是17air[笑哭R],3,2025-07-20,广东,1,2,purchase_decision,neutral,推测手机型号,Speculate about phone model
iPhone 17系列,xhs_comment,为什么不用Pro max呀？,3,2025-10-25,浙江,3,1,purchase_decision,neutral,咨询是否该用Pro Max,Should I use Pro Max model
iPhone 17系列,xhs_comment,所以我能不能用之前平板的那种大头充电头啊？,3,2026-04-04,黑龙江,6,0,purchase_decision,neutral,咨询能否用平板大头充电头,Ask if tablet charger works
iPhone 17系列,xhs_comment,选17还是16plus,3,2026-01-28,陕西,13,16,purchase_decision,neutral,17或16plus选择纠结,Torn between iPhone 17 or 16 Plus
iPhone 17系列,bilibili,"大家都在纠结是买16pro还是17
但我相信还有有一部分人属于我这种情况。
像我去年12月购买了16pro，你们觉得有必要换17吗？因为当初就是高刷和窄边框还有续航才选的16pro、对传输速率和长焦功能并没有硬性要求，现在一个完美适合我需求的手机（高刷窄边框高续航等等）的手机出来了，而且日版的17今年全系列esim续航比日版16pro卡槽版续航提升很多。重量也会比16pro轻一些。",3,2025-09-18,,29,823,purchase_decision,neutral,纠结16Pro用户是否需要升级17,Hesitant if 16Pro users should upgrade 17
iPhone 17系列,xhs_note,听听大家的意见 苹果17基础版真的不好用吗  真的想买[皱眉R] #iphone17[话题]#,3,2026-05-16,河南,0,1001,purchase_decision,neutral,纠结iPhone17基础版是否好用,Hesitant if iPhone17 base model good
iPhone 17系列,xhs_comment,17por还是potmax平常刷刷抖音拍拍照微信聊天什么的，拍照多一点，之前看有人说微信还会闪退这个是真的嘛[哭惹R],3,2026-04-25,江苏,0,0,purchase_decision,neutral,拍照为主pro选型咨询,Photography focused Pro model consultation
iPhone 17系列,xhs_comment,有没有宝子推荐一下，紫色的、追剧工作都适用、拍照好看的苹果手机、内存大的。想攒钱给我姐姐买个新手机。我姐姐现在用的是14promax。不想买二手的。,3,2025-12-28,北京,8,1,purchase_decision,neutral,为姐姐推荐紫色大内存苹果机,Recommend purple large storage iPhone for sister
iPhone 17系列,xhs_comment,17适合不咋拍照不玩游戏的轻度使用党[捂脸R]我每天经常刷抖音和打一小时王者爱拍照，体验很不好，下了pro max，到了就把这个出了[汗颜R],3,2025-11-12,河南,11,8,purchase_decision,negative,17不适合重度用户，已换pro,"17 unsuitable heavy user, switched pro"
iPhone 17系列,xhs_comment,我12用四年半电量75%，在纠结要17还是16pro[扶额R][扶额R][扶额R],3,2026-02-26,中国台湾,0,0,purchase_decision,neutral,12电池尚可，纠结选17还是16pro,"12 battery okay, torn between 17 or 16Pro"
iPhone 17系列,xhs_comment,苹果的拍摄风格和vivo完全不一样。哈哈哈，vivo就是想的怎么把女生拍的很漂亮，皮肤很好，很亮。,3,2025-09-24,四川,0,2,camera,neutral,苹果与安卓拍摄风格差异大,Apple and Android shooting styles differ
iPhone 17系列,xhs_comment,17基础，感觉四倍以下成像效果不错，五倍以上就开始糊了,3,2026-05-10,上海,0,4,camera,negative,五倍以上变焦成像模糊,5x zoom imaging blurry
iPhone 17系列,xhs_comment,糊吗？我感觉苹果15拍照好奇怪啊,3,2026-01-10,山东,4,4,camera,negative,拍照奇怪模糊,Blurry strange photos
iPhone 17系列,xhs_comment,感觉标准版这几个焦段能满足刚需使用，反正在4倍以下和Pro区别不大，唯一的痛点可能就是8G的内存，APP一多就容易重新加载比较烦。,3,2025-10-21,广东,1,3,camera,positive,焦段满足刚需，内存不足,"Focal length adequate, storage insufficient"
iPhone 17系列,xhs_comment,感觉原相机选冷调玫瑰色风格比标准的好看,3,2026-05-09,甘肃,0,2,camera,positive,冷调玫瑰色风格相机好看,"Cool rose color, camera looks good"
iPhone 17系列,xhs_note,iPhone 17！！！ 后悔买17了啊啊啊啊，好看是好看，拍照曝光 发红[笑哭R][笑哭R]还没有14好用呢我的天🤦#256G[话题]# #新手机[话题]# #苹果17[话题]# #晒晒新手机[话题]#,3,2026-05-05,广东,0,2207,camera,negative,"拍照曝光发红,不如iPhone14好用","Photo exposure too red, worse than 14"
iPhone 17系列,xhs_comment,[doge]每一代基础版都没长焦啊....这不是iPhone17的缺点，是预算的缺点,3,2026-02-05,山东,0,5,camera,neutral,基础版缺长焦是预算限制,Base model lacks telephoto due budget
iPhone 17系列,xhs_comment,拍照怎么样，听说17拍照偏黄,3,2026-05-13,俄罗斯,0,0,camera,negative,17拍照偏黄色差,17 photos yellowish poor
iPhone 17系列,xhs_note,"没有追星女可以拒绝iPhone 17系列 就在刚刚，苹果发布会公布了iPhone 17系列（包括普通版、Air、Pro、Pro Max）前后摄同时启动的视频同步双拍，简直是为演唱会量身定制的。
以前使用这个功能需要下载DuoCam，且十分不便，以后在任意一台iPhone 17系设备上只需打开原相机就能实现。
#iPhone17[话题]# #iPhone17Air[话题]# #iPhone17Pro[话题]# #iPhone17ProMax[话题]#  #苹果发布会[话题]# #iPhone最新款[话题]# #追星女[话题]# #演唱会手机[话题]#",3,2025-09-09,,0,5668,camera,positive,前后双摄同步录制，演唱会神器,"Front rear dual sync recording, concert essential"
iPhone 17系列,xhs_comment,数字版的摄像头怎么敢碰瓷pro啊,3,2025-09-21,四川,4,8,camera,negative,数字版摄像头不如Pro版,Digital camera inferior to Pro
iPhone 17系列,xhs_comment,糊吗 有没有人帮我看看 17,3,2026-01-04,湖北,17,1,camera,negative,拍照模糊,Blurry photos
iPhone 17系列,xhs_comment,最喜欢用手机拍日常！不管是风景还是人像还是其他什么！以及我觉得实况真的特别伟大，动态的记录以及声音能把人一下子拉回被记录的场景，能够再一次身临其境的感受那个时刻，反正手机帮我记录了很多美好的瞬间！也记录了我的成长！偶尔空了去翻翻相册，会觉得很幸福[大笑R],3,2026-01-10,重庆,6,0,camera,positive,实况功能记录美好瞬间,Cinematic mode records beautiful moments
iPhone 17系列,xhs_comment,啊😧我昨天去苹果店试了基础版的拍照超级清楚而且拍的好好看我都打算把我16卖了换17[皱眉R][捂脸R]最后是16拍的,3,2026-01-04,河南,253,1519,camera,positive,17基础版拍照清楚出片好,iPhone 17 basic model photos clear
iPhone 17系列,xhs_comment,架空苹果hdr4算法后，用原生传感器的还要好[笑哭R]超广角直接变全画幅厚重感,3,2026-04-17,上海,8,9,camera,negative,HDR算法超广角效果差,HDR algorithm ultra-wide angle effect bad
iPhone 17系列,xhs_comment,主摄都差不多 长焦苹果也不厉害反正[笑哭R],3,2026-04-21,浙江,0,1,camera,negative,长焦拍摄效果也不理想,Telephoto shooting effect not ideal
iPhone 17系列,xhs_comment,买了才17紫色才1个星期多 前一个星期都挺保电的 从昨天开始莫名其妙的电掉的特别快 冲满电且后台清空的情况下 睡醒一晚就掉10多个电是怎么回事[哭惹R][哭惹R][哭惹R]日常用感觉也掉的有点快,3,2026-01-06,河北,0,0,battery,negative,17紫色电池一周后掉电异常快,17 purple battery drains fast weekly
iPhone 17系列,bilibili,自用16pro，目前电池健康还是100，当前户外30度晴天，全程5G，亮度60-90%，微信微博抖音小红书这些信息流软件加上高德地图导航，亮屏大约3.5小时就15%的电了。室内25度，全程wifi，不打游戏，看视频看微博回消息，大约6小时亮屏。待机一晚上8小时后台全空、关5G大约耗电8%，这个电池续航其实蛮一般的,3,2025-09-30,,48,756,battery,negative,16pro续航一般，仅3.5-6小时,"16pro battery average, only 3.5-6 hours"
iPhone 17系列,xhs_comment,我的不卡顿，不发热，就是掉电快[微笑R],3,2025-11-04,浙江,4,4,battery,negative,续航差，掉电快,"Poor battery life, quick drain"
iPhone 17系列,xhs_comment,其实苹果的快充头很耐用，一两百一个，能用三五年也不会坏，我现在用的头还是22年买平板送的，现在了也还好用完全没问题，然后关于伤不伤电池，你要是想不伤电池直接买慢充吧，我实践过了，快充就是比慢充伤电池，之前用快充半个月掉1%，现在用慢充，好久了都还没掉，我用的14，最明显的就是之前手机用差不多两年电池还有89，之前用的慢充，然后换了快充以后，换了新手机用了一年就已经92了,3,2026-04-04,广东,49,315,battery,positive,慢充比快充更护电池寿命更长,Slow charging better protects battery longevity
iPhone 17系列,xhs_comment,对！！续航太差了！！！我都后悔买17了！,3,2026-01-23,江西,1,3,battery,negative,17续航差后悔购买,iPhone 17 poor battery regretted
iPhone 17系列,xhs_comment,想问问是pro的续航好还是标准版续航好[飞吻R],3,2025-12-03,安徽,2,2,battery,neutral,比较Pro与标准版续航,Compare Pro and standard battery
iPhone 17系列,xhs_comment,13pm要不要换17pm？其实现在的没啥问题就是电池只有70%了，把人搞的焦躁的,3,2025-09-25,广西,5,0,battery,neutral,13pm电池70%纠结换17pm,iPhone 13 PM battery 70% hesitant upgrade 17
iPhone 17系列,xhs_comment,我用了三年半电池鼓包了，现在换完电池再战三年[派对R],3,2026-02-24,上海,11,1,battery,positive,13电池鼓包更换后继续使用,"iPhone 13 battery replaced, still usable"
iPhone 17系列,xhs_comment,只充80％的电，以及不要边充电边玩会大幅度延长寿命。我的平板是上学时自己用生活费买的，所以超级珍惜它，充电都是设置闹钟，到时间就拔掉插座。用了两年后，比我晚买的一个小伙伴的续航已经无法用一天了，我的仍然啥事没有。,3,2026-02-28,北京,3,39,battery,positive,充电80%和避免边充边玩延长续航,Charge 80% avoid simultaneous gaming
iPhone 17系列,xhs_comment,应该问题iPhone 11的电池健康度最终是啥样的了？,3,2026-04-11,北京,6,1,battery,neutral,询问iPhone11长期电池表现,iPhone 11 long-term battery inquiry
iPhone 17系列,xhs_comment,我的17不是大爷，我就正常用，电池不行要么换手机要么换电池，为了长期去照顾它5年，保姆费都不止这数了,3,2026-04-08,广东,3,8,battery,negative,iPhone17电池不佳维护成本高,"iPhone 17 battery poor, high maintenance cost"
iPhone 17系列,xhs_comment,我17用的原装充也发烫。。。[呃R][呃R],3,2026-04-04,广西,6,11,battery,negative,17原装充电头发烫,17 original charger gets too hot
iPhone 17系列,xhs_comment,17而已...感觉没必要分期，你还要分期买...只能说你开心就好,3,2026-05-29,广西,2,2,price_value,negative,觉得分期不必要,Think installment payment unnecessary
iPhone 17系列,xhs_comment,可是凌晨是不是用不了国补,3,2026-05-14,陕西,0,0,price_value,negative,凌晨使用国补存疑,Midnight usage national subsidy questionable
iPhone 17系列,bilibili,已经结束咧，叠加国补5299[大笑][大笑][大笑]，还不如前几个月5099,3,2026-05-18,,4,9,price_value,negative,国补后价格不划算,Price unaffordable after subsidies
iPhone 17系列,xhs_comment,17的512以旧换新5900算好价吗？[哭惹R],3,2026-05-06,湖北,6,3,price_value,neutral,以旧换新价格咨询,Inquire trade-in price for old phone
iPhone 17系列,xhs_comment,最没有性价比的就是标准版，买标准版不如买国产机。只有pro和pro max可以录raw视频，拿来拍电影也不夸张，这比买专业相机香多了。,3,2025-10-16,广西,24,14,price_value,negative,"标准版无性价比,pro拍视频很香","Standard lacks value, Pro video great"
iPhone 17系列,xhs_note,"6799💰拿下苹果17pro 李老头说618买
17 就马住这4个时间点
根据往年618iPhone专场的规律，给想换iPhone17的姐妹做了超全攻略，直接抄不买贵！！
4个关键时间节点一定要马住
5.13左右 预售期
怕缺货的宝子首选！直播间大额券可叠加，先锁库存不亏，早买早用
5.21数码家电专场
iPhone重点场必蹲！专属券＋赠品（AppleCare+、充电器等）拉满，价格可能和预售一样或更低！
5.31  20:00现货期
抄底时机！60%机型达全年最低价69平台补贴+88VIP+国补（最高
500元）＋以旧换新，优惠直接叠满
6.15 20:00返场清仓
适合捡漏旧款（如iPhone16），价格和首波预售差不多，热门款库存看手速！
〇总结
V 性价比优先冲5.21专场+5.31现货期，闭眼入最香！
！ 国补需提前确认所在省份是否可用，蹲住不错过！
#618#李佳琦直播间 #iPhone17 #苹果手机 #换手机攻略#数码家电
#618手机推荐",3,2026-05-11,云南,0,478,price_value,positive,618购机时间规划优惠策略指南,618 purchase timing planning discount strategy
iPhone 17系列,xhs_comment,17pm到底降了多少？？？,3,2026-05-29,四川,0,0,price_value,neutral,17pm降价幅度咨询,iPhone 17PM price reduction inquiry
iPhone 17系列,xhs_comment,这个价格入手值得吗？还是等618？,3,2026-04-13,广西,22,5,price_value,neutral,询问购买时机和价格优惠,Purchase timing and price inquiry
iPhone 17系列,xhs_comment,我4599就买到了17,3,2026-05-24,广东,4,0,price_value,positive,4599价格便宜划算,4599 price cheap good deal
iPhone 17系列,xhs_comment,礼貌问价，17pro256最低能到多少啊[微笑R],3,2026-01-24,广东,5,5,price_value,neutral,咨询17Pro256价格,Inquiring iPhone 17Pro 256 price
iPhone 17系列,xhs_comment,比pro省下来的钱够买个vivo专拍演唱会了,3,2025-10-21,中国香港,19,262,price_value,positive,标准版省钱，性价比高,"Standard version saves money, good value"
iPhone 17系列,xhs_comment,掏出我的小米14，想哭[哭惹R]  4000多买的，还不如加点钱，买个苹果,3,2025-11-28,重庆,1,8,price_value,negative,小米性价比低，不如加钱买苹果,"Mi low value, pay more for iPhone"
iPhone 17系列,xhs_comment,别试了，脆皮的不行！！！我就换手机壳的时候摔了一下。这样了[笑哭R][笑哭R][笑哭R]从4用到17都没出现过这样的情况！！！,3,2025-10-16,江苏,7,7,design,negative,屏幕易碎跌落损伤严重,"Screen fragile, drop damage severe"
iPhone 17系列,xhs_comment,其实我感觉这个苹果17像红米手机,3,2025-09-24,辽宁,0,0,design,negative,设计像红米手机,Design resembles Redmi phone
iPhone 17系列,xhs_comment,我也买了，这种带支架的手机壳躺着玩手机好方便呀,3,2026-05-30,湖南,0,1,design,positive,支架手机壳使用方便,Phone stands and cases convenient
iPhone 17系列,xhs_comment,今天刚拿到17感觉比起我用的第一代苹果4S做工差了几个量级，比我转安卓前最后一代xsmax做工也差了很多。,3,2026-02-27,江苏,2,3,design,negative,做工质量下降，不如4S和XSMax,Workmanship quality declined inferior older
iPhone 17系列,bilibili,今年换铝合金，导热性能比上代提升20倍。明年换钛合金，硬度比上代提升10倍。后年换铝合金，导热性能比上代提升20倍……,3,2025-09-17,,106,11964,design,negative,年年更换材质参数营销手段重复,Yearly material changes are repetitive marketing
iPhone 17系列,xhs_comment,17pro系列是过渡产品，铝合金边框背板就是在倒退，Air的亮面钛金属边框才是未来的方向,3,2025-09-10,广东,2,1,design,negative,铝合金边框倒退，钛金属才是方向,"Aluminum frame downgrade, titanium is direction"
iPhone 17系列,xhs_comment,说真的，16的后屏真的好看,3,2026-01-21,安徽,0,3,design,positive,16后屏设计美观,16 rear screen design aesthetics
iPhone 17系列,xhs_comment,朋友的17pm，就壳子有点紧，他稍微用点力按进去，竟然掉漆了[笑哭R],3,2025-12-19,广西,5,13,design,negative,iPhone17PM轻按即掉漆质量差,iPhone17 PM light press causes paint peeling
iPhone 17系列,xhs_comment,我觉得11背面看着比17大 但是正面屏幕17又大一些,3,2025-12-26,四川,2,1,design,neutral,11背面大17正面屏幕大,11 large back 17 large front screen
iPhone 17系列,xhs_comment,哈哈  苹果17紫色的确实从l.5 米摔下来一点事情都没有 我已经做过实验了,3,2025-10-14,广东,1,0,design,positive,iPhone17紫色版本耐摔验证,iPhone17 purple version drop test
iPhone 17系列,xhs_comment,不是说17标准版发热严重吗？,3,2025-11-04,重庆,14,2,performance,negative,17标准版发热问题反馈,17 standard version heating issue feedback
iPhone 17系列,xhs_comment,感觉用7年都没问题[捂脸R] 就是储存不够而已 其他方面还是很流畅的[偷笑R],3,2026-04-30,山东,0,0,performance,positive,用7年流畅，仅存储不足,"Used 7 years smooth, storage insufficient"
iPhone 17系列,xhs_comment,我感觉还是断触，苹果这个通病应该是改不了了,3,2026-02-19,山东,0,2,performance,negative,屏幕断触是苹果通病,Screen touch failure common Apple issue
iPhone 17系列,xhs_comment,图上这个不是16吗 不过我也有同样的问题 老是突然莫名其妙断网 家里其他人都好好的 网连着但是用不了[失望R]而且用久了眼睛确实好不舒服 不过可能是因为我把亮度调最高了,3,2026-01-17,湖北,2,1,performance,negative,断网问题屏幕亮度眼睛酸,Network issues screen brightness causes eye strain
iPhone 17系列,xhs_comment,我是13pro-17 冲着绿色买的标准版...体验感是不如13pro甚至想换回来[石化R] 建议直接上pro ...没有13pro丝滑,3,2026-02-14,江苏,21,18,performance,negative,17标准版不如13pro流畅,iPhone 17 standard smoother than 13Pro
iPhone 17系列,xhs_comment,a19远不如a17pro的其实，pro永远是pro,3,2025-09-21,安徽,12,2,performance,negative,A19芯片不如A17pro,A19 chip inferior to A17 Pro
iPhone 17系列,xhs_comment,16p换了17 觉得没区别[捂脸R],3,2025-11-29,美国,15,56,performance,negative,16P升级到17无明显区别,16P to 17 upgrade no obvious difference
iPhone 17系列,xhs_comment,换了17pro。 现在偶尔拿小米14刷抖音 感觉像拿到一块砖了。 不用17不知道 一用吓一跳 具体说好 也说不出来 但就是ios很流畅 平常办公用。打游戏那当我没说,3,2025-11-19,江西,5,3,performance,positive,苹果17系统流畅体验好,"Apple 17 system smooth, good experience"
iPhone 17系列,xhs_comment,但是 iPhone17 系列不支持那个新的 avs[doge],3,2026-04-03,上海,9,7,software,negative,iPhone17不支持新的avs,iPhone 17 doesn't support new AVS
iPhone 17系列,xhs_comment,我的13自从系统升级后卡的一塌糊涂，所以现在换吧觉得有点可惜，不换吧又觉得卡。,3,2026-03-01,安徽,1,4,software,negative,系统升级后卡顿，更换与否纠结,"System update lag, confused replacing or not"
iPhone 17系列,xhs_note,不会=白买！iPhone 33个隐藏技能，小白必看 #iphone小技巧[话题]# #数码大玩家[话题]# #玩机攻略[话题]# #实用数码技巧分享[话题]# #小技巧[话题]# #手机技巧[话题]# #个性化设置[话题]# #一人一个安卓使用技巧[话题]# #科技数码新鲜事儿[话题]#,3,2025-11-11,,0,6263,software,neutral,无关,Unrelated
iPhone 17系列,xhs_comment,文档扫描转PDF也太方便了！你们还有啥类似的IPhone的隐藏功能？,3,2025-11-11,江苏,7,5,software,positive,文档扫描转PDF功能方便,Document scanning to PDF convenient
iPhone 17系列,xhs_comment,都拥有了，但还是不舍得把卡换进苹果[失望R]     1.微信不能双开2.不能电话录音，app电话录音，想用新手机，但工作很不方便，小米内存大，手机里全是资料,3,2025-11-21,山东,3,9,software,negative,苹果不支持双开和电话录音,Apple lacks dual-open and call recording
iPhone 17系列,xhs_comment,苹果17链接车载以后，又模糊又廉价的感觉！真的接受不了！,3,2025-09-24,山东,4,1,software,negative,17车载连接模糊廉价感差,iPhone 17 car connection blurry cheap feel poor
iPhone 17系列,xhs_comment,我17拍照功能有问题 打开相机举起来一会就会变成这样 拍不了照片 然后扫码付款也付款不了 要重启之后才行 过一段时间又会这样[失望R] 13没出过这样问题[微笑R],3,2026-01-18,湖南,1,0,software,negative,相机扫码功能故障需重启,Camera scan function malfunction needs restart
iPhone 17系列,xhs_note,"iPhone 17 灵动岛 | 隐藏操作一篇全搞定！ 📱iPhone 17 的灵动岛真的太好用了！
一开始以为就是个“小药丸”造型，结果上手后才发现打开了新世界。
❓刚开始我也一脸懵：到底怎么用才顺手？
❗别慌！所有设置方法 + 隐藏技巧都整理好了，直接放在图里，建议收藏慢慢看～
#iphone17[话题]# #手机设置[话题]# #灵动岛[话题]# #数码[话题]#",3,2026-03-23,,0,1108,software,positive,"灵动岛功能强大好用,有隐藏技巧",Dynamic Island powerful with hidden tricks
iPhone 17系列,xhs_comment,大把支持 acs 的第三方充电器[笑哭R][笑哭R],3,2026-04-14,广东,3,1,after_sales,neutral,第三方充电器选择多,Third-party chargers offer more choices
iPhone 17系列,xhs_comment,广州天环直营店，苹果13，我一下摔爆了后玻璃，店员第一时间关心我 问我有没有刮伤我的手 而不是那手机，然后我含泪买了台13ProMax[哭惹R][哭惹R],3,2025-12-20,广东,19,1572,after_sales,positive,店员专业关心促使升级购买,Professional staff care promoted upgrade purchase
iPhone 17系列,xhs_comment,请问大家，12pm换17pro，需要重新买充电器吗？不买有影响不？穷鬼想省点是点[呃R],3,2025-09-28,河北,3,4,after_sales,neutral,询问换机是否需要购买充电器,Asking if charger purchase needed
iPhone 17系列,xhs_note,苹果17线下退货成功 17买了两天想换pro 去店里几秒钟立刻到账 （没有任何磕碰损坏完好无损 杠精求别来）态度也非常好 [色色R][色色R][色色R][大笑R] （虽然小17很貌美但是还是比较喜欢pro的长焦 短暂小紫体验卡结束 不得不说基础版手感真的很好）欢迎各位uu们咨询[大笑R]#安全下车[话题]# #退款也是原路退回[话题]# #iPhone17[话题]#,3,2025-12-02,,0,3790,after_sales,positive,退货快速便捷，态度很好,"Fast and convenient returns, excellent attitude"
iPhone 17系列,xhs_comment,直营店员工如果用“第三方充电头伤电池”这种话术给顾客推销，说明培训的非常非常不到位,3,2026-04-03,上海,1,17,after_sales,negative,店员虚假宣传第三方充电器伤电池,Staff falsely claims third-party damages battery
iPhone 17系列,bilibili,标准版肯定卖爆，续航崩不是致命问题，以前的续航也不咋地，关键是换了高刷，这对于视力正常的人来说是史诗级提升,3,2025-09-17,,38,832,screen,positive,高刷屏幕对视力正常用户体验提升显著,High refresh display significantly improves user experience
iPhone 17系列,xhs_comment,想问下17屏幕会辣眼睛嘛,3,2026-05-21,河南,0,0,screen,neutral,询问17屏幕显示效果是否刺眼,Asking if 17 screen glares eyes
iPhone 17系列,xhs_comment,17小不小啊 想买17基础版 怕屏幕太小了,3,2026-05-20,陕西,1,0,screen,neutral,担心17基础版屏幕尺寸偏小,Concerned iPhone 17 base screen too small
iPhone 17系列,xhs_comment,17确实很丝滑 我从安卓换到17一秒就接受了 但是屏幕看久了会眼酸[笑哭R],3,2025-12-23,福建,11,23,screen,mixed,17性能流畅屏幕易眼酸,17 smooth performance screen causes eye strain
iPhone 17系列,xhs_comment,这个屏幕强度，不贴钢化膜也没事吧[呃R],3,2025-09-23,广东,13,119,screen,neutral,询问屏幕强度和保护,Ask about screen strength protection
